x,probs
1.0,0.0012946859028623422
2.0,0.001197358116458355
3.0,0.0011905678057790071
4.0,0.30859924944432626
5.0,0.001856018252355106
6.0,0.00322313413579716
7.0,0.007324481786123321
8.0,0.040121682367373915
9.0,0.018956283979846358
10.0,0.024714467435933418
11.0,0.026045368329085616
12.0,0.04880196285247371
13.0,0.01769781306727387
14.0,0.011312657591793684
15.0,0.006127123669664966
16.0,0.013829599416938657
17.0,0.0025938986795109166
18.0,0.0010321272232608882
19.0,0.0011136109514130637
20.0,0.013662105086848073
21.0,0.001206411864030819
22.0,0.0010253369125815402
23.0,0.0010796593980163238
24.0,0.008191378116186743
25.0,0.0011294550096648756
26.0,0.001072869087336976
27.0,0.0012516806018931387
28.0,0.013639470717916914
29.0,0.0009438531844293649
30.0,0.0011113475145199476
31.0,0.0011045572038405997
32.0,0.012304042950978485
33.0,0.001068342213550744
34.0,0.0010366540970471203
35.0,0.000934799436856901
36.0,0.02028492143610544
37.0,0.0016500454950815517
38.0,0.0009732778640398727
39.0,0.0011181378251992956
40.0,0.02189648850400402
41.0,0.0011294550096648756
42.0,0.0004413701941576167
43.0,0.0004821120582337044
44.0,0.02919380904740995
45.0,0.00031914460192935363
46.0,0.0003757305242572532
47.0,0.0003847842718297171
48.0,0.031110940095879187
49.0,0.00030782741746377367
50.0,0.0004934292426992843
51.0,0.00025803180581522204
52.0,0.03142555782402231
53.0,0.0003712036504710212
54.0,0.0004300530096920368
55.0,0.0002784027378532659
56.0,0.027910440329013186
57.0,0.0002399243106702942
58.0,0.00020370932038043848
59.0,0.0003598864660054413
60.0,0.021493596737029375
61.0,0.0004458970679438487
62.0,0.00033725209707428146
63.0,0.00036441333979167327
64.0,0.013874868154800976
65.0,0.00030330054367754173
66.0,0.00028971992231884583
67.0,0.0002512414951358741
68.0,0.011077260154909622
69.0,0.00030103710678442574
70.0,0.0003870477087228331
71.0,0.00027387586406703394
72.0,0.006747305378378745
73.0,0.00023313399999094626
74.0,0.00033951553396739746
75.0,0.00031461772814312164
76.0,0.005769500640552641
77.0,0.00020370932038043848
78.0,0.00024671462134964213
79.0,0.00016296745630435078
80.0,0.007462551436603396
81.0,0.00014485996115942292
82.0,0.00011769871844203112
83.0,7.695685436594342e-05
84.0,0.013490083882971259
85.0,0.00011543528154891513
86.0,9.506434951087129e-05
87.0,6.337623300724753e-05
88.0,0.013333906737346257
89.0,4.9795611648551625e-05
90.0,6.56396699003635e-05
91.0,5.6585922327899576e-05
92.0,0.04439731465847001
93.0,2.0370932038043847e-05
94.0,9.053747572463932e-06
95.0,1.8107495144927864e-05
96.0,0.01812560264007279
97.0,1.1317184465579915e-05
98.0,4.526873786231966e-06
100.0,0.06949203949244691
