x,probs
0,0.04230137209544461
1,0.031928040814294054
2,0.08797752859852515
3,0.027016382756232374
4,0.03311634518317995
5,0.028256746173659933
6,0.08928126824895995
7,0.10549653015124286
8,0.02624681421257294
9,0.03422542926080678
10,0.03533677677532673
11,0.035646867629683616
12,0.002430931223206566
13,0.01517408093144955
14,0.006903482524003748
15,0.01397898625188431
16,0.0042032023105163805
17,0.003207290077545348
18,2.263436893115983e-06
19,0.0017677442135235828
20,0.08397577217149609
21,0.07686405345332567
22,0.10759699958805448
23,0.10706509191817223
